,Date,MUCAPE,DCAPE,LCL,LFC,PW,7-5LR,MeanRH,MeanMixR,SfcT,SfcTd,DD,FZL_AGL,WC,0-6km Shear Dir,0-6km Shear Mag,MW Dir,MW Mag,C Up Dir,C Up Mag,C Dn Dir,C Dn Mag,SM Dir,SM Mag,4-6km dir,4-6km mag,deterministicRRA,probabilisticRRA,Year,Month,Basins,Flood,Result
45,06/15/2011,173.33,1254.13,3629.62,-999.0,1.64,8.91,19.46,4.33,31.59,-0.38,29.52,3287.98,0.0,240.29,29.66,246.68,14.79,213.97,12.32,235.38,30.31,276.68,11.09,203.21,19.59,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
46,06/16/2011,811.05,1137.25,1712.32,3167.3,2.14,8.71,37.73,6.97,25.1,8.46,13.48,3092.01,1361.58,250.62,40.31,240.18,21.28,250.53,21.93,248.14,48.12,270.18,15.96,213.52,21.08,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
47,06/17/2011,22.13,252.65,2939.27,-999.0,1.6,7.91,27.37,4.86,24.44,1.43,21.91,2666.27,0.0,244.86,40.01,246.83,15.0,239.44,22.37,243.68,42.73,276.83,11.25,238.99,26.05,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
48,06/18/2011,44.76,1004.16,3251.46,3396.5,1.53,9.15,23.47,4.49,29.17,0.18,26.46,2955.68,0.0,247.76,23.54,243.05,20.95,185.83,6.73,234.88,27.1,273.05,15.72,203.78,15.83,0.0,0.375,2011.0,6.0,0.0,No Flooding,0.0
49,06/19/2011,89.21,24.72,1425.21,1937.5,2.09,6.43,80.84,6.26,15.51,6.15,3.99,2062.37,396.51,20.05,22.83,328.85,21.08,78.95,6.27,352.29,22.0,358.85,15.81,293.86,7.11,0.0,0.375,2011.0,6.0,0.0,No Flooding,0.0
50,06/20/2011,0.0,532.36,2154.18,-999.0,1.42,5.61,43.74,5.67,24.24,3.46,17.38,2581.99,127.03,328.85,20.27,330.73,17.89,318.18,6.13,326.48,27.5,0.73,13.42,314.13,20.28,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
51,06/21/2011,0.0,578.2,3531.57,-999.0,1.06,7.11,25.15,3.96,27.62,-0.83,24.67,3480.44,0.0,326.85,25.02,322.54,13.36,311.94,14.49,318.47,31.52,352.54,10.02,303.02,15.04,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
52,06/22/2011,23.08,930.47,2823.54,-999.0,1.82,8.25,28.6,5.79,31.64,4.76,22.68,3486.99,639.57,273.84,30.22,279.95,8.0,252.23,13.71,268.52,26.47,309.95,6.0,250.52,18.54,,,2011.0,6.0,0.0,No Flooding,0.0
53,06/23/2011,7.97,1647.13,4512.82,-999.0,1.29,8.97,11.62,3.51,34.76,-3.2,34.09,3542.56,0.0,242.6,21.07,252.8,18.44,199.0,7.1,244.25,28.32,282.8,13.83,202.67,14.5,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
54,06/24/2011,0.0,1717.64,4475.96,-999.0,1.08,8.77,11.14,3.19,33.69,-4.44,34.09,3438.84,0.0,223.2,29.07,254.61,24.05,209.39,12.42,241.58,39.02,284.61,18.04,207.83,24.99,0.0,0.125,2011.0,6.0,0.0,No Flooding,0.0
